MIM-104 Patriot Missile Name,"Speed 
(Mach)",Speed (ms-1),"Range 
(miles)","Range 
(m)"
MIM-104A (PAC-1),2.7,939,42,68000
MIM-104C (PAC-2),5,1715,99,159000
MIM-104F (PAC-3),5,1715,25,40000
